"study","title","latitude","longitude","methods","habitat","native_species","native_family","native_growth_cycle","invasive_species","invasive_family","invasive_growth_cycle","invasion_phase","MAT","MAP","fraction","source","index","units","depth","M_native","SD_native","N_native","M_invasive","SD_invasive","N_invasive","lnRR","depth_raw","depth_bot","depth_mid","habitat_class","growth_cycle","basis","sd_imputed","yi","vi","obs"
"R35","Total and available soil carbon fractions under the perennial grass Cynodon dactylon (L.) Pers and the bioenergy crop Arundo dox L.","28.9587","100.645","field","n/a","Arundodox L.","Poaceae","perennial","Cynodondactylon (L.)Persoon","Poaceae","perennial","invasive",21.5,546,"TC","T2","TC","g/kg","40-50",32.38,2,3,36.57,1.77,3,"0.12168727999999999","40-50",50,45,NA,"perennial","concentration",FALSE,0.12144186532123,0.00205256502370778,23
"R37","Effects of Spartina Alterniflora Invasion on Soil Physical and Chemical Properties in Wetlands of the Yangtze River","23.90-23.93","117.40-117.50","field","estuary","Mangrove","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",15.3,1022,"TC","F2","TC","g/kg","0-15",17.9718875502007,4.22,3,10.2409638554216,2.21,3,"-0.56240208000000003","0-15",15,7.5,"wetland_coastal","perennial","concentration",FALSE,-0.563840767065189,0.0339019756840719,24
"R37","Effects of Spartina Alterniflora Invasion on Soil Physical and Chemical Properties in Wetlands of the Yangtze River","23.90-23.93","117.40-117.50","field","estuary","Mangrove","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",15.3,1022,"TC","F2","TC","g/kg","15-30",16.867469879518,3.51,3,9.13654618473895,1.5,3,"-0.61287650999999999","15-30",30,22.5,"wetland_coastal","perennial","concentration",FALSE,-0.61582929554475,0.0234187794792297,25
"R37","Effects of Spartina Alterniflora Invasion on Soil Physical and Chemical Properties in Wetlands of the Yangtze River","23.90-23.93","117.40-117.50","field","estuary","Mangrove","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",15.3,1022,"TC","F2","TC","g/kg","30-50",12.5502008032128,3.14,3,8.73493975903614,1.71,3,"-0.36295529999999998","30-50",50,40,"wetland_coastal","perennial","concentration",FALSE,-0.366451202041423,0.0336405919479418,26
"R37","Effects of Spartina Alterniflora Invasion on Soil Physical and Chemical Properties in Wetlands of the Yangtze River","23.90-23.93","117.40-117.50","field","estuary","Mangrove","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",15.3,1022,"TC","F2","TC","g/kg","50-75",10.6425702811244,2.41,3,7.2289156626506,1,3,"-0.38638145000000002","50-75",75,62.5,"wetland_coastal","perennial","concentration",FALSE,-0.392130152450274,0.0234717621159504,27
"R37","Effects of Spartina Alterniflora Invasion on Soil Physical and Chemical Properties in Wetlands of the Yangtze River","23.90-23.93","117.40-117.50","field","estuary","Mangrove","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",15.3,1022,"TC","F2","TC","g/kg","75-100",8.93574297188755,2.41,3,6.52610441767068,1.2,3,"-0.31412865000000001","75-100",100,87.5,"wetland_coastal","perennial","concentration",FALSE,-0.320737297398732,0.0355168770179487,28
"R39","Substrate availability regulates the suppressive effects of Canada goldenrod invasion on soil respiration","32.14","119.29","field","Shore","P.australis","Poaceae","perennial","SolidagocadensisL.","AsteraceaeBercht.&J.Presl","perennial","invasive",17.1,1272.1,"TC","T1","STC(soil total C)","mg C g−1 soil","0-10",12.47,1.19,3,10.8,0.74,3,"-0.14377962999999999","0-10",10,5,"wetland_coastal","perennial","concentration",FALSE,-0.14451494428244,0.0046004956946538,29
"R39","Substrate availability regulates the suppressive effects of Cada goldenrod invasion on soil respiration","32.12","119.30","greenhouse","n/a","P.australis","Poaceae","perennial","SolidagocadensisL.","AsteraceaeBercht.&J.Presl","perennial","invasive",17.1,1272.1,"TC","T2","STC(soil total C)","mg C g−1 soil","0-10",3.76,0.09,3,3.56,0.06,3,"-5.4658409999999998E-2","0-10",10,5,NA,"perennial","concentration",FALSE,-0.0547065600713472,0.000285665096003204,30
"R50","Grass invasion of a hardwood forest is associated with declines in belowground carbon pools","33.5327","83.2193","field","forest","Acerrubrum,Quercusnigra,Platanusoccidentalis,andLiquidambarstyraciflua","n/a","n/a","M.vimineum","Poaceae","annual","invasive",NA,NA,"TC","T2","TC","ug/g dry wt soil -1","0-10",22.21,7.83836717690617,6,17.24,8.72018348430811,6,"-0.25331037000000001","0-10",10,5,"forest","annual","concentration",FALSE,-0.242369380558092,0.0633996410888533,31
"R54","Effects of Spartina alterniflora invasion on soil organic carbon composition of mangrove wetland in Zhangjiang River Estuary","23.90-23.93","117.40-117.50","field","estuary","Mangrove","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",21.2,1714.5,"TC","F2","TC","g/kg","0-15",18.0604982206405,4.36,3,10.4092526690391,2.14,3,"-0.55093267000000001","0-15",15,7.5,"wetland_coastal","perennial","concentration",FALSE,-0.553700953492961,0.03351497645729,32
"R54","Effects of Spartina alterniflora invasion on soil organic carbon composition of mangrove wetland in Zhangjiang River Estuary","23.90-23.93","117.40-117.50","field","estuary","Mangrove","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",21.2,1714.5,"TC","F2","TC","g/kg","15-30",17.170818505338,3.3,3,9.16370106761565,1.6,3,"-0.62831749999999997","15-30",30,22.5,"wetland_coastal","perennial","concentration",FALSE,-0.629036171287557,0.0224738332659696,33
"R54","Effects of Spartina alterniflora invasion on soil organic carbon composition of mangrove wetland in Zhangjiang River Estuary","23.90-23.93","117.40-117.50","field","estuary","Mangrove","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",21.2,1714.5,"TC","F2","TC","g/kg","30-50",13.0782918149466,3.11,3,8.98576512455516,1.51,3,"-0.37497150000000001","30-50",50,40,"wetland_coastal","perennial","concentration",FALSE,-0.380030328838377,0.028262277482879,34
"R54","Effects of Spartina alterniflora invasion on soil organic carbon composition of mangrove wetland in Zhangjiang River Estuary","23.90-23.93","117.40-117.50","field","estuary","Mangrove","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",21.2,1714.5,"TC","F2","TC","g/kg","50-75",10.6761565836298,2.85,3,7.20640569395017,1.07,3,"-0.39290387999999998","50-75",75,62.5,"wetland_coastal","perennial","concentration",FALSE,-0.401245302341742,0.0311027732023832,35
"R54","Effects of Spartina alterniflora invasion on soil organic carbon composition of mangrove wetland in Zhangjiang River Estuary","23.90-23.93","117.40-117.50","field","estuary","Mangrove","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",21.2,1714.5,"TC","F2","TC","g/kg","75-100",8.98576512455516,2.58,3,6.49466192170818,1.6,3,"-0.32590318000000001","75-100",100,87.5,"wetland_coastal","perennial","concentration",FALSE,-0.328285573945271,0.0477099029913241,36
"R56","Changes of ecosystem carbon stock following the plantation of exotic mangrove Sonneratia apetala in Qi'ao Island, China","22.2340-22.2738","113.3640-113.3915","field","mangrove","Kandeliaobovata Sheue&al.","Rhizophoraceae Pers.","n/a","Sonneratiaapetala Buch.-Ham.","Lythraceae","n/a","invasive",22.4,1964.4,"TC","T3","TC","%","0-20",1.29,0.12,6,5.21,1.06,6,"1.3959376400000001","0-20",20,10,"wetland_coastal",NA,"concentration",FALSE,1.39866601805393,0.00834120336521488,37
"R56","Changes of ecosystem carbon stock following the plantation of exotic mangrove Sonneratia apetala in Qi'ao Island, China","22.2340-22.2738","113.3640-113.3915","field","mangrove","Kandeliaobovata Sheue&al.","Rhizophoraceae Pers.","n/a","Sonneratiaapetala Buch.-Ham.","Lythraceae","n/a","invasive",22.4,1964.4,"TC","T3","TC","%","20-40",1.25,0.06,6,3.78,0.85,6,"1.10658046","20-40",40,30,"wetland_coastal",NA,"concentration",FALSE,1.11060224945789,0.0088115822811978,38
"R56","Changes of ecosystem carbon stock following the plantation of exotic mangrove Sonneratia apetala in Qi'ao Island, China","22.2340-22.2738","113.3640-113.3915","field","mangrove","Kandeliaobovata Sheue&al.","Rhizophoraceae Pers.","n/a","Sonneratiaapetala Buch.-Ham.","Lythraceae","n/a","invasive",22.4,1964.4,"TC","T3","TC","%","40-60",1.27,0.1,6,1.73,0.13,6,"0.30910451","40-60",60,50,"wetland_coastal",NA,"concentration",FALSE,0.309058398437797,0.00197445159722645,39
"R56","Changes of ecosystem carbon stock following the plantation of exotic mangrove Sonneratia apetala in Qi'ao Island, China","22.2340-22.2738","113.3640-113.3915","field","mangrove","Kandeliaobovata Sheue&al.","Rhizophoraceae Pers.","n/a","Sonneratiaapetala Buch.-Ham.","Lythraceae","n/a","invasive",22.4,1964.4,"TC","T3","TC","%","60-80",1.28,0.1,6,1.45,0.24,6,"0.12470348000000001","60-80",80,70,"wetland_coastal",NA,"concentration",FALSE,0.126477848631692,0.00558324546980281,40
"R56","Changes of ecosystem carbon stock following the plantation of exotic mangrove Sonneratia apetala in Qi'ao Island, China","22.2340-22.2738","113.3640-113.3915","field","mangrove","Kandeliaobovata Sheue&al.","Rhizophoraceae Pers.","n/a","Sonneratiaapetala Buch.-Ham.","Lythraceae","n/a","invasive",22.4,1964.4,"TC","T3","TC","%","80-100",1.24,0.09,6,1.31,0.2,6,"5.4915760000000001E-2","80-100",100,90,"wetland_coastal",NA,"concentration",FALSE,0.0564191505081299,0.00476276917470691,41
"R58","Transition From Sagebrush Steppe to Annual Grass (Bromus tectorum): Influence on Belowground Carbon and Nitrogen","n/a","n/a","field","grassland","Artemisiatridentata Nutt.","AsteraceaeBercht.&J.Presl","n/a","Bromustectorum L.","Poaceae","annual","invasive",NA,NA,"TC","F3","TC","mg ha-1","9cm-1m",49.1538461538461,3.46,4,43.6153846153846,3.23,4,"-0.11936109","9cm-1m",NA,NA,"grassland","annual","areal",FALSE,-0.119478971928523,0.00260982051691371,42
"R6","Bamboo invasion of broadleaf forests altered soil fungal community closely linked to changes in soil organic C chemical composition and mineral N production","30.1830-30.2137","119.2411-119.2711","field","forest","forest","n/a","n/a","Phyllostachy sedulis","Poaceae","annual","invasive",15.8,1630,"SOC","T1","SOC","g/kg","n/a",23.13,3.69,6,30.87,7.31,6,"0.288654362","n/a",NA,NA,"forest","annual","concentration",FALSE,0.291206295008606,0.0135874660349532,43
"R7","Cascading effects from plant to soil elucidate how the invasive Amorpha fruticosa L. impacts dry grasslands","45.5032-46.0745","12.4413-13.2739","field","grassland","n/a","n/a","n/a","A.fruticosa","Asparagaceae","n/a","invasive",13,NA,"SOC","T1","SOC","%","n/a",3,1.31,3,2.58,1.63,3,"-0.15082288999999999","n/a",NA,NA,"grassland",NA,"concentration",FALSE,-0.116077570943646,0.196609156100395,44
"R8","Changes in Soil Organic Carbon Dymics in a tive C4 Plant-Domited Tidal Marsh Following Sparti alterniflora Invasion","26.0036–26.0342","119.3412–119.4040","field","n/a","C.malaccensis","Cyperaceae","annual","S.alterniflora","Poaceae","perennial","invasive",19.6,1350,"SOC","F2","SOC","g/kg","0-10",15.1649746192893,0.698,3,21.8908629441624,0.5076,3,"0.36736953100000003","0-10",10,5,NA,"perennial","concentration",FALSE,0.366817394587199,0.00088538906031003,45
"R8","Changes in Soil Organic Carbon Dymics in a tive C4 Plant-Domited Tidal Marsh Following Sparti alterniflora Invasion","26.0036–26.0342","119.3412–119.4040","field","n/a","C.malaccensis","Cyperaceae","annual","S.alterniflora","Poaceae","perennial","invasive",19.6,1350,"SOC","F2","SOC","g/kg","10-20",16.243654822335,0.5711,3,20.8756345177664,0.5711,3,"0.25131442799999998","10-20",20,15,NA,"perennial","concentration",FALSE,0.250799024638648,0.000661509462511595,46
"R8","Changes in Soil Organic Carbon Dymics in a tive C4 Plant-Domited Tidal Marsh Following Sparti alterniflora Invasion","26.0036–26.0342","119.3412–119.4040","field","n/a","C.malaccensis","Cyperaceae","annual","S.alterniflora","Poaceae","perennial","invasive",19.6,1350,"SOC","F2","SOC","g/kg","20-30",17.2588832487309,1.39594,3,18.8451776649746,0.69797,3,"8.8121227999999996E-2","20-30",30,25,NA,"perennial","concentration",FALSE,0.0870683692278552,0.0026379024965121,47
"R8","Changes in Soil Organic Carbon Dymics in a tive C4 Plant-Domited Tidal Marsh Following Sparti alterniflora Invasion","26.0036–26.0342","119.3412–119.4040","field","n/a","C.malaccensis","Cyperaceae","annual","S.alterniflora","Poaceae","perennial","invasive",19.6,1350,"SOC","F2","SOC","g/kg","30-40",16.8147208121827,0.76142,3,16.9416243654822,0.50761,3,"7.7037420000000004E-3","30-40",40,35,NA,"perennial","concentration",FALSE,0.00732669818400313,0.00098276133276369,48
"R8","Changes in Soil Organic Carbon Dymics in a tive C4 Plant-Domited Tidal Marsh Following Sparti alterniflora Invasion","26.0036–26.0342","119.3412–119.4040","field","n/a","C.malaccensis","Cyperaceae","annual","S.alterniflora","Poaceae","perennial","invasive",19.6,1350,"SOC","F2","SOC","g/kg","40-50",16.9416243654822,2.8553,3,18.8451776649746,3.3629,3,"0.10683522500000001","40-50",50,45,NA,"perennial","concentration",FALSE,0.107056660109882,0.0200829650643812,49
"R10","Effects of Canada Goldenrod Invasion on Soil Extracellular Enzyme Activities and Ecoenzymatic Stoichiometry","32.14","119.29","field","grassland","P.australis","Poaceae","perennial","P.australis","compositae","perennial","invasive",17.7,1272.1,"SOC","T1","SOC","mg C g−1 soil","0-15",7.56,0.53,4,8.57,0.29,4,"0.125396542","0-15",15,7.5,"grassland","perennial","concentration",FALSE,0.124925323679742,0.00151497552934532,50
"R13","Effects of moso bamboo encroachment into native, broad-leaved forests on soil carbon and nitrogen pools","30.1830-30.2455","119.2347-119.2827","field","forest","forest","n/a","n/a","Phyllostachysedulis","Poaceae","annual","invasive",NA,NA,"SOC","F2","SOC","g/cm2","0-20",0.5824,0.1147,3,0.5647,0.0791,3,"-3.5091320000000002E-2","0-20",20,10,"forest","annual","areal",FALSE,-0.0340572106807968,0.0194692147866798,51
"R13","Effects of moso bamboo encroachment into native, broad-leaved forests on soil carbon and nitrogen pools","30.1830-30.2455","119.2347-119.2827","field","forest","forest","n/a","n/a","Phyllostachysedulis","Poaceae","annual","invasive",NA,NA,"SOC","F2","SOC","g/cm2","20-40",0.7588,0.1147,3,0.8206,0.0791,3,"7.5985907000000005E-2","20-40",40,30,"forest","annual","areal",FALSE,0.0760379294827963,0.0107136168904834,52
"R13","Effects of moso bamboo encroachment into tive, broad-leaved forests on soil carbon and nitrogen pools","30.1830-30.2455","119.2347-119.2827","field","forest","forest","n/a","n/a","Phyllostachysedulis","Poaceae","annual","invasive",NA,NA,"SOC","F2","SOC","g/cm2","40-60",0.9971,0.1147,3,1.0147,0.0791,3,"9.9503309999999998E-3","40-60",60,50,"forest","annual","areal",FALSE,0.0163045669979249,0.00643652212078715,53
"R13","Effects of moso bamboo encroachment into tive, broad-leaved forests on soil carbon and nitrogen pools","30.1830-30.2455","119.2347-119.2827","field","forest","forest","n/a","n/a","Phyllostachysedulis","Poaceae","annual","invasive",NA,NA,"SOC","F2","SOC","g/cm2","0-20",0.6176,0.1324,3,0.4941,0.1147,3,"-0.23531408700000001","0-20",20,10,"forest","annual","areal",FALSE,-0.221781306342583,0.033282219082295,54
"R13","Effects of moso bamboo encroachment into tive, broad-leaved forests on soil carbon and nitrogen pools","30.1830-30.2455","119.2347-119.2827","field","forest","forest","n/a","n/a","Phyllostachysedulis","Poaceae","annual","invasive",NA,NA,"SOC","F2","SOC","g/cm2","20-40",0.8029,0.1324,3,0.6882,0.1147,3,"-0.14792013000000001","20-40",40,30,"forest","annual","areal",FALSE,-0.154053174408819,0.0183235076816409,55
"R13","Effects of moso bamboo encroachment into tive, broad-leaved forests on soil carbon and nitrogen pools","30.1830-30.2455","119.2347-119.2827","field","forest","forest","n/a","n/a","Phyllostachysedulis","Poaceae","annual","invasive",NA,NA,"SOC","F2","SOC","g/cm2","40-60",1.05,0.1324,3,0.7941,0.1147,3,"-0.284512498","40-60",60,50,"forest","annual","areal",FALSE,-0.278508882611868,0.0122543313239346,56
"R14","Exotic grasses and nitrate enrichment alter soil carbon cycling along an urban–rural tropical forest gradient","18.27-18.17","66.6-65.53","field","watershedforest","forest","n/a","n/a","PennisetumpurpureumSchumach.","Poaceae","perennial","invasive",25.7,1750,"SOC","F3","SOC","%","0-10",3.45669291338582,0.2145,3,2.92125984251968,0.1394,3,"-0.16968497299999999","0-10",10,5,"forest","perennial","concentration",FALSE,-0.16855960456744,0.00204258558642719,57
"R15","Exotic Pinus carbaea causes soil quality to deteriorate on former abandoned land compared to an indigenous Podocarpus plantation in the tropical forest area of southern China","18.230-18.520","108.440–109.02","field","forest","PodocarpusimbricatusB1.","Podocarpaceae Endl.","n/a","PinuscaribaeaMorelet","PiceaeSpreng.exF.Rudolphi","n/a","invasive",NA,3000,"SOC","T1","SOC","g/kg","0-20",17.4,1.15,3,14.4,2.64,3,"-0.18924199999999999","0-20",20,10,"forest",NA,"concentration",FALSE,-0.184368172184439,0.0126597524992293,58
"R16","Far-reaching effects on soil properties and underground microbial ecosystem after the introduction of black locusts in forest","34.47-34.51","108.05-108.10","field","forest","P.orientalis","Cupressaceae","n/a","Robiniapseudoacacia L.","Fabaceae","n/a","invasive",10.8,605,"SOC","T2","SOC","g/kg","0-20",5.61,0.04,3,10.06,0.12,3,"0.58401644500000005","0-20",20,10,"forest",NA,"concentration",FALSE,0.584031686595184,6.43753692828852e-05,59
